Geo Location,Facility,Address,Neighborhood,RC,PA,SP,HC,TC,BC,BF,,,
North,Alegheny Center Plaza,Allegheny Square East & West,Allegheny Center,,,,,,,,,,
North,Allegheny Commons Park,North/Brighton/Western/Ridge/Cedar Avenues,Allegheny Center,,X,X,,X,X,X,,,
North,Allegheny Landing Park,Isabella between 6th & 7th Street Bridges,Allegheny Center,,,,,,,,,,
North,Allegheny Riverfront Park,10th Street Bypass/Ft. Duquesne Blvd.,Allegheny Center,,,,,,,,,,
North,Alpine Parklet,500 block of Alpine Street,Central Northside,,X,,,,,,,,
North,Brighton Heights Park,Benton Avenue & Brighton Woods Road,Brighton Heights,,X,X,,,X,X,,,
North,Catalano Parklet,Spring Garden Avenue & High Street,Spring Garden,,X,,,,,,,,
North,Cowley Playground,1200 Goettman Street,Troy Hill,,X,X,,,X,X,,,
North,Cross & Strauss Parklet,Cross & Strauss Streets,Perry South,,X,,,,X,,,,
North,Fineview Field,Jay & Myler Streets,Fineview,,,,,,,X,,,
North,Fineview Playground,Edinvale & Lanark Streets,Fineview,,X,,X,X,X,,,,
North,Fowler Playground,2438 Wilson Avenue 15214,Perry South,,X,X,,,,X,,,
North,Gardner Field,Gardner & Herman Streets,Troy Hill,,,,,,,X,,,
North,Horace Mann School,Shadeland Avenue,Marshall-Shadeland,,,,,,,X,,,
North,Jefferson Playground,605 Rednap Street 15212,Central Northside,X,X,,,,X,,,,
North,Legion Memorial Park,Brighton Road & Shadeland Avenue,Brighton Heights,,,,,,,,,,
North,Leister Parklet,Leister Street,Spring Hill-City View,,,,,,X,,,,
North,Lookout Parklet,Lookout Street,Troy Hill,,X,,,,X,,,,
North,Manchester Park,Columbus & Fulton Streets,Manchester,,X,,,X,,,,,
North,Manchester Playground,Juniata & Fulton Streets,Manchester,,X,,,,X,X,,,
North,Market Square Park,Forbes Avenue @ Graeme,Central Business District,,,,,,,,,,
North,Marmaduke Playground,Oswald & Bonaventure Way,Brighton Heights,,X,,X,,,X,,,
North,Marshall-California Parklet,Marshall & California Streets,Marshall-Shadeland,,X,,,,X,,,,
North,McKnight Playground,Page & Fontella Streets,Manchester,,X,,,,X,X,,,
North,Mellon Square Park,6th Avenue & William Penn Place,Central Business District,,,,,,,,,,
North,Northshore Riverfront Park,North Shore Drive,North Shore,,,,,,,,,,
North,Riverview Park,Riverview Drive off Perrysville Avenue,Perry North,,X,X,,X,,,,,
North,Scherer Field,East & Royal Streets,Spring Hill-City View,,,,,,,X,,,
North,Spring Garden Playground,Spring Garden Avenue & Wicklines Lane,Spring Garden,,,,,X,,X,,,
North,Spring Garden School,Spring Garden Avenue,Spring Garden,,X,,,,,,,,
North,Spring Hill Playground,South Side & Romanoff Streets,Spring Hill-City View,,X,,X,,X,X,,,
North,Woods Run Tot Lot ,Woods Run & Central Avenue,Marshall-Shadeland,,X,,,,,,,,
North,Young Field,Shadeland Avenue & Complete Street,Marshall-Shadeland,,,,,,,X,,,
South,Able Long Parklet,Coast & Gagwin Streets,Beechview,,X,,,,,,,,
South,Arlington Gym,2201 Salisbury Street 15210,Southside Slopes,X,,,,,,,,,
South,Arlington Playground,Salisbury & Fernleaf Streets,Southside Slopes,,X,,X,,X,X,,,
South,Armstrong Playground,12th & Sarah Streets,Southside Flats,,X,,X,,X,X,,,
South,Banksville School Field,Carnahan Road off Banksville Road,Banksville,,X,,,,,X,,,
South,Bigbee Field,Bigbee Street off Bailey Avenue,Allentown,,,,,,,X,,,
South,Bon Air Parklet,Calle & Conniston Streets,Bon Air,,X,,X,,,,,,
South,Brookline Memorial Park,1400 Oakridge Street 15226,Brookline,X,X,,, ,X,X,,,
South,Carmalt School,1583 Breining Street,Brookline,,,,,,,X,,,
South,Carrick Farmers Market,Brownsville Road,Carrick,,,,,,,,,,
South,Cobden Street Basketball Court,Cobden Street,Southside Slopes,,,,,,X,,,,
